Cluster;RA_ICRS;DE_ICRS;dist;e_dist;age;e_age;FeH;e_FeH;Av;e_Av;Nc;alpha_high_int;alpha_high_er_int;alpha_low_int;alpha_low_er_int;Mc_int;Mc_er_int;offset_int;offset_er_int;mass_total;e_mass_total;bin_frac;average_ratio;str_average_ratio;segr_ratio;segr_ratio_std;mass_seg;mass_seg_pval
Stock_1;294.1005;25.2128;0.386;0.01;8.733;0.046;0.059;0.074;0.33;0.035;202;-1.25124;0.61875;0.90502;0.29941;-0.1185;0.0911;1.66187;0.11164;346;69;0.62871;0.6745;0.22037;1.15623;3.87321;0.16364;0.1435
Stock_10;84.9381;37.8819;0.351;0.001;8.132;0.122;-0.12;0.096;0.683;0.129;184;-1.81309;0.30522;0.92876;0.28714;-0.2;0.047;1.36492;0.05957;194;38;0.41848;0.66038;0.25599;1.13015;2.72627;0.13768;0.65792
Stock_14;175.9447;-62.5326;2.237;0.05;7.251;0.033;0.152;0.027;0.882;0.02;180;-1.32351;0.20042;1.73549;0.21838;0.02671;0.03302;1.72179;0.07635;557;111;0.64444;0.67474;0.28179;1.21195;2.85503;0.2272;0.11143
Stock_20;6.2957;62.6175;2.41;0.058;7.25;0.052;-0.033;0.035;1.476;0.024;98;-1.78554;0.15858;1.68876;0.16824;0.10295;0.01869;1.75007;0.05868;298;59;0.64286;0.61223;0.24138;0.62708;1.74363;0.14211;0.97081
Stock_21;7.589;57.9266;1.831;0.055;8.597;0.14;-0.055;0.074;1.718;0.072;78;-1.70949;0.90796;1.49785;0.28006;0.05218;0.06872;1.50281;0.24649;170;34;0.5;0.59552;0.25817;1.5442;1.33358;0.40556;0.01503
Stock_23;49.0734;60.5102;0.596;0.001;8.152;0.206;-0.053;0.079;0.972;0.063;134;-1.29267;0.63492;1.22683;1.03476;-0.2;0.12725;1.52816;0.14253;301;60;0.77612;0.70744;0.19683;1.04208;6.14854;0.16591;0.31507
Stock_24;9.958;61.9671;2.499;0.09;8.092;0.302;-0.067;0.054;1.838;0.083;140;-1.40406;0.30841;2.19303;0.41285;-0.00799;0.04517;1.60953;0.08312;439;87;0.63571;0.70928;0.22939;0.91162;1.93839;0.2645;0.07669
Stock_4;28.0646;57.0626;1.28;0.023;8.276;0.178;-0.23;0.062;0.73;0.131;160;-1.60527;0.29599;1.96548;0.28658;-0.12941;0.0314;1.49726;0.05871;415;83;0.8125;0.62841;0.20147;1.26281;3.18883;0.20639;0.066
Stock_5;31.1578;64.3684;0.92;0.005;8.067;0.148;0.122;0.078;1.678;0.057;157;-1.35936;0.30765;2.41551;0.69125;-0.2;0.04465;1.53077;0.06674;446;89;0.75159;0.78896;0.22141;1.38269;5.69801;0.17951;0.14178
Stock_7;37.4486;60.6425;0.659;0.002;8.175;0.176;0.067;0.039;1.743;0.065;146;-1.66092;0.31778;1.77637;0.34195;-0.12721;0.03754;1.42261;0.06264;260;52;0.64384;0.64342;0.24377;1.26421;3.06462;0.32937;0.00078
Teutsch_1;84.8731;33.3502;3.53;0.098;7.661;0.418;-0.253;0.016;2.052;0.115;82;-1.86635;0.36256;1.84084;0.29399;0.10007;0.03432;1.57581;0.11909;314;62;0.52439;0.68646;0.25543;;;0.22363;0.99268
Teutsch_103;142.157;-46.6078;2.438;0.135;8.662;0.103;-0.027;0.023;2.748;0.068;50;-1.63162;0.96305;1.43276;0.42885;0.01268;0.08388;1.28803;0.22752;235;47;0.48;0.66161;0.29405;;;;
Teutsch_12;96.4397;13.6167;3.516;0.109;8.877;0.054;-0.204;0.047;2.159;0.083;201;-3.0;1.15685;1.7249;0.2079;0.10066;0.03222;2.04152;0.24226;532;106;0.70149;0.69758;0.26973;;;0.17673;0.95858
Teutsch_126;333.4545;55.6993;1.921;0.043;7.997;0.076;0.051;0.057;1.358;0.047;210;-2.13913;0.29954;2.04334;0.25741;-0.03647;0.02474;1.63835;0.06453;483;96;0.53333;0.72736;0.26336;1.15888;3.98828;0.25163;0.00201
Teutsch_13;100.979;1.4142;3.722;0.101;7.438;0.111;-0.297;0.014;2.147;0.04;166;-2.01797;0.34976;1.89401;0.23241;0.1495;0.02822;1.97559;0.13585;688;137;0.56024;0.68541;0.23597;;;0.66871;0.07817
Teutsch_132;77.5143;38.8156;3.122;0.142;7.219;0.068;-0.212;0.039;2.207;0.059;62;-1.63146;0.46984;1.95104;0.40785;0.04135;0.05062;1.39538;0.1626;309;61;0.6129;0.73106;0.25404;;;;
Teutsch_35;294.2069;35.6896;0.491;0.0;8.0;0.0;-0.01;0.0;0.031;0.0;149;-1.77353;0.2708;1.05648;0.18234;-0.1318;0.03268;1.45281;0.04389;193;38;0.63087;0.60581;0.24389;1.13015;4.16828;0.17476;0.36403
Teutsch_38;131.5044;-38.0093;0.639;0.001;7.842;0.1;-0.004;0.065;0.262;0.059;180;-1.90142;0.38679;1.07083;0.44167;-0.2;0.05814;1.35238;0.09236;296;59;0.80556;0.75174;0.18719;1.10183;6.43608;0.07765;0.9721
Teutsch_61;113.6625;-19.7875;2.454;0.096;7.427;0.247;-0.113;0.051;2.011;0.052;89;-1.86285;0.33179;1.32641;0.2027;0.05917;0.03746;1.46888;0.10691;349;69;0.53933;0.55881;0.25853;0.65194;0.87138;0.14925;0.78261
Tombaugh_1;105.1289;-20.5783;2.372;0.048;9.121;0.026;-0.095;0.057;0.869;0.065;341;-2.04914;0.67262;2.16353;0.19858;0.05235;0.024;2.01566;0.11845;810;162;0.51026;0.76116;0.25994;1.5239;2.26343;0.26586;5e-05
