Cluster;RA_ICRS;DE_ICRS;dist;e_dist;age;e_age;FeH;e_FeH;Av;e_Av;Nc;alpha_high_int;alpha_high_er_int;alpha_low_int;alpha_low_er_int;Mc_int;Mc_er_int;offset_int;offset_er_int;mass_total;e_mass_total;bin_frac;average_ratio;str_average_ratio;segr_ratio;segr_ratio_std;mass_seg;mass_seg_pval
UBC_389;338.3499;58.366;2.092;0.04;8.068;0.193;0.024;0.047;1.641;0.049;63;-1.32367;0.40471;1.61463;0.3954;-0.01676;0.05631;1.23423;0.08656;231;46;0.53968;0.6378;0.25399;0.97409;1.604;0.25572;0.22275
UBC_395;345.6054;57.1708;2.2;0.311;7.487;0.747;-0.138;0.03;2.117;0.408;182;-1.77403;0.41203;1.78528;0.30507;0.01774;0.04175;1.80855;0.12683;631;126;0.5989;0.68056;0.26627;1.06801;2.94934;0.16522;0.19729
UBC_396;337.3219;66.513;1.018;0.01;7.132;0.103;-0.071;0.049;2.679;0.04;31;-0.48232;0.22977;1.7156;0.78783;-0.00075;0.14315;1.15097;0.10072;128;25;0.41935;0.69384;0.26536;1.11837;1.47388;0.30978;0.52712
UBC_397;347.7247;58.6083;3.159;0.257;7.064;0.279;-0.107;0.062;2.693;0.049;110;-1.88379;0.46093;1.42214;0.21467;0.15038;0.04717;1.769;0.19396;735;147;0.58182;0.61406;0.29422;;;;
UBC_41;23.2363;59.7873;2.065;0.098;7.984;0.138;0.006;0.076;1.489;0.066;41;-1.62051;0.56476;1.30684;0.29393;0.18984;0.05647;1.52674;0.22229;140;28;0.56098;0.62702;0.27811;1.13951;1.23962;0.61538;0.33171
UBC_413;17.6551;60.4656;2.228;0.093;7.883;0.248;-0.043;0.065;2.051;0.135;47;-1.35505;0.44341;1.56986;0.33531;-0.00343;0.07705;1.25593;0.14269;213;42;0.7234;0.67555;0.26619;0.86052;2.22813;0.2;0.8378
UBC_422;40.5922;58.1741;2.35;0.135;7.397;0.275;-0.149;0.03;2.272;0.032;292;-2.1784;0.33117;1.79067;0.22458;0.0053;0.02778;1.77454;0.087;1353;270;0.59247;0.66906;0.27159;0.98949;6.0001;0.13937;0.16125
UBC_424;50.9981;51.2684;1.957;0.043;8.693;0.205;-0.139;0.04;1.97;0.074;97;-1.52443;0.56204;1.62541;0.24598;0.01685;0.04443;1.49637;0.12405;303;60;0.61856;0.67219;0.269;0.98511;3.38778;0.27596;0.05522
UBC_429;72.5697;44.7611;2.412;0.137;8.832;0.309;-0.197;0.068;2.163;0.132;83;-2.05981;0.83239;1.71887;0.3318;0.0553;0.04396;1.55719;0.16094;306;61;0.63855;0.65767;0.27121;1.70631;2.25186;0.21465;0.6873
UBC_433;87.7114;28.7104;4.048;0.15;9.106;0.018;-0.306;0.052;1.863;0.079;141;-0.81411;1.61587;1.36291;0.21874;0.08334;0.09817;1.6477;0.3259;646;129;0.87943;0.72302;0.27713;;;0.16667;0.94499
UBC_436;94.9238;26.2351;2.886;0.113;8.753;0.092;-0.179;0.062;1.253;0.106;237;-2.60493;0.55707;2.35008;0.31633;0.01829;0.02397;1.79379;0.09289;604;120;0.45148;0.6882;0.25437;1.0835;4.34672;0.17779;0.06287
UBC_437;89.5432;22.0685;1.756;0.07;7.825;0.313;-0.122;0.046;1.847;0.087;141;-2.03494;0.26772;1.90986;0.26608;-0.06101;0.0279;1.41848;0.05279;359;71;0.57447;0.64937;0.24602;1.08773;3.7533;0.14734;0.3805
UBC_439;94.5438;10.7607;2.572;0.126;8.458;0.042;-0.175;0.047;1.389;0.029;129;-1.93008;0.45997;2.01388;0.26686;0.0221;0.03034;1.61647;0.10248;471;94;0.49612;0.69413;0.27329;1.12642;3.70395;0.09088;0.9675
UBC_442;100.5755;-4.6164;3.864;0.372;8.953;0.074;-0.202;0.101;1.455;0.152;110;-2.39205;1.15938;1.23651;0.20251;0.13829;0.03814;1.82466;0.25362;472;94;0.82727;0.69092;0.28954;1.1308;3.31599;0.27518;0.28989
UBC_445;108.4906;-6.5962;2.45;0.101;8.772;0.1;-0.182;0.072;0.839;0.155;101;-1.64099;0.78151;2.07023;0.4692;-0.05479;0.05428;1.50044;0.12881;323;64;0.53465;0.66101;0.25552;1.42412;4.49409;0.25611;0.05868
UBC_448;113.5211;-8.0799;2.925;0.145;8.921;0.109;-0.189;0.031;0.38;0.071;259;-3.0;0.66385;2.09311;0.27663;-0.04515;0.02477;1.60939;0.07655;830;166;0.44402;0.57492;0.27963;1.16252;4.11942;0.17554;0.03493
UBC_449;115.22;-12.8883;3.505;0.221;8.939;0.086;-0.152;0.074;0.855;0.107;184;-2.50446;0.75319;2.0751;0.27619;-0.00989;0.03655;1.61555;0.11583;469;93;0.60326;0.7198;0.27075;1.22764;4.69401;0.13424;0.34755
UBC_450;110.1304;-19.3429;2.647;0.076;7.936;0.158;-0.13;0.035;1.078;0.025;299;-2.13233;0.40159;1.98956;0.23595;-0.02254;0.02831;1.77817;0.0907;632;126;0.52843;0.63654;0.25247;1.06524;4.86476;0.17564;0.02009
UBC_451;100.7118;-23.6898;1.707;0.061;8.472;0.057;-0.1;0.071;0.221;0.043;33;-1.27439;0.65171;1.40956;0.59524;-0.06954;0.08787;1.0593;0.11242;104;20;0.57576;0.58746;0.23572;0.96593;2.25664;0.43233;0.07158
UBC_460;113.7776;-21.3186;2.61;0.127;7.597;0.071;-0.111;0.052;1.131;0.05;351;-2.38943;0.32081;1.84006;0.22179;-0.00526;0.02363;1.85028;0.06696;1038;207;0.54131;0.65494;0.2785;1.04725;5.04057;0.08872;0.48484
UBC_462;118.9329;-24.0267;2.884;0.132;8.29;0.212;-0.054;0.069;0.578;0.037;175;-2.10878;0.3736;2.84811;0.54733;-0.05544;0.02668;1.62299;0.06572;601;120;0.58286;0.85138;0.22548;0.99064;3.80168;0.22829;0.01762
UBC_467;123.1703;-25.6778;4.722;0.135;9.143;0.015;-0.046;0.071;0.527;0.049;108;-1.31822;1.37171;1.66609;0.25208;0.05679;0.07383;1.61474;0.28327;353;70;0.74074;0.6958;0.26319;0.57547;5.817;0.17582;0.6944
UBC_472;120.7474;-35.0834;1.753;0.052;9.049;0.084;-0.069;0.135;2.209;0.073;55;-0.49562;1.0747;1.73999;0.38603;0.02202;0.09952;1.28039;0.22727;189;37;0.74545;0.84;0.24964;1.89906;2.39139;0.35556;0.20653
UBC_475;123.8921;-33.9119;1.962;0.042;8.109;0.136;-0.058;0.071;0.82;0.045;82;-2.11883;0.55101;1.74992;0.4465;-0.07486;0.04595;1.32441;0.0962;241;48;0.42683;0.57799;0.24734;1.31153;1.82044;0.2725;0.08821
UBC_479;124.4104;-42.6083;1.42;0.032;7.248;0.061;0.061;0.082;1.338;0.24;112;-1.82576;0.1854;2.37385;0.27799;-0.06034;0.02018;1.50045;0.04979;364;72;0.74107;0.71922;0.21024;1.20324;3.30799;0.13613;0.61959
UBC_483;133.7452;-47.4599;1.817;0.037;7.501;0.215;0.169;0.085;2.033;0.049;60;-1.62215;0.29373;1.43471;0.40239;0.00833;0.04769;1.34486;0.09306;235;47;0.63333;0.79288;0.25908;1.0459;1.87106;0.23295;0.47663
UBC_484;138.0128;-44.8231;1.951;0.065;8.127;0.324;0.013;0.059;1.575;0.155;74;-1.56071;0.49954;2.09051;0.46476;0.0378;0.04557;1.50823;0.12069;235;47;0.44595;0.63525;0.24028;1.50396;2.33245;0.36667;0.02885
UBC_485;138.1869;-44.9023;1.675;0.035;8.646;0.167;-0.011;0.073;1.546;0.109;83;-2.29716;0.74965;1.66698;0.33894;0.01802;0.04177;1.55202;0.14467;242;48;0.57831;0.77322;0.26114;0.99865;2.21226;0.37358;0.00662
UBC_493;141.2453;-57.3629;1.607;0.062;8.913;0.09;-0.017;0.091;1.071;0.154;44;-2.31775;1.51953;1.3183;0.31661;0.18586;0.04622;1.7867;0.37806;154;30;0.70455;0.70142;0.25571;1.39183;2.02883;0.35897;0.51847
UBC_496;159.6792;-54.1991;1.592;0.032;8.195;0.184;-0.095;0.046;0.566;0.1;45;-1.70739;0.51904;1.42599;0.2902;-0.02299;0.05045;1.20352;0.10476;102;20;0.66667;0.56896;0.24475;0.9667;1.86177;0.12253;0.98072
UBC_499;158.6585;-59.7434;2.277;0.05;7.369;0.04;0.013;0.042;1.314;0.055;227;-1.81217;0.26083;1.86789;0.2737;-0.00477;0.03166;1.6923;0.06901;773;154;0.55947;0.64202;0.27239;1.09304;3.0324;0.13922;0.22013
UBC_500;162.7053;-55.8775;2.292;0.051;8.309;0.221;0.024;0.042;1.318;0.072;187;-2.25065;0.44896;1.7638;0.26601;0.01198;0.02966;1.68003;0.09409;589;117;0.48663;0.6383;0.26993;1.00909;3.36638;0.18487;0.09466
UBC_502;159.5509;-59.5341;1.681;0.057;8.678;0.122;0.011;0.074;0.748;0.147;111;-1.45057;0.71226;1.68769;0.38103;-0.01553;0.06256;1.62475;0.16085;330;66;0.66667;0.66615;0.23389;1.06115;2.16145;0.29298;0.01498
UBC_503;156.2841;-62.3372;1.95;0.053;9.1;0.039;-0.028;0.053;0.798;0.087;59;-1.79704;1.35898;2.17819;0.54811;0.02135;0.05719;1.42669;0.22012;121;24;0.42373;0.60486;0.2076;1.39959;2.35619;0.29972;0.18475
UBC_514;158.5283;-73.2565;1.813;0.038;9.495;0.077;-0.21;0.064;0.552;0.114;86;-1.12418;1.58014;1.62694;0.33335;-0.09971;0.08423;1.32485;0.09346;268;53;0.77907;0.65115;0.22128;1.19649;3.28044;0.17647;0.47996
UBC_520;186.089;-66.6655;1.868;0.046;8.75;0.134;0.016;0.067;1.567;0.102;78;-2.23605;0.65145;2.25421;0.44904;0.02377;0.03122;1.48141;0.10333;251;50;0.46154;0.61441;0.24055;1.59802;2.43774;0.46245;0.00115
UBC_521;187.5219;-64.1667;2.488;0.26;8.753;0.318;0.13;0.09;2.338;0.158;141;-1.44499;1.2102;1.53675;0.32594;0.13958;0.07005;1.82938;0.33772;512;102;0.68794;0.71163;0.27479;;;0.57206;0.05189
UBC_527;204.5524;-66.6686;1.658;0.017;8.308;0.18;0.054;0.067;1.077;0.086;60;-0.89286;0.67821;1.68379;0.3805;0.00379;0.07456;1.30694;0.1678;168;33;0.56667;0.55688;0.24057;1.43077;1.60338;0.54762;0.00054
UBC_532;226.4587;-62.231;1.709;0.088;7.807;0.263;0.137;0.077;2.667;0.075;81;-1.90387;0.53111;1.50241;0.27764;0.05098;0.04633;1.44699;0.15264;319;63;0.58025;0.77332;0.28696;1.29955;1.2488;0.22222;0.76946
UBC_533;230.315;-53.1699;1.228;0.021;8.378;0.198;0.018;0.042;0.882;0.066;44;-1.90837;0.49936;1.29474;0.30042;-0.01794;0.04156;1.15961;0.09208;81;16;0.43182;0.59861;0.28075;1.03907;1.41066;0.23333;0.51587
UBC_534;238.6451;-57.8798;1.563;0.04;8.049;0.227;0.099;0.066;1.587;0.065;103;-1.52446;0.42175;2.0172;0.34532;0.01611;0.04079;1.64926;0.1168;294;58;0.59223;0.64097;0.23078;0.89476;2.46638;0.09635;0.97435
UBC_557;256.1699;-38.9853;1.421;0.034;7.584;0.086;0.115;0.044;1.629;0.047;103;-1.96028;0.41482;2.17296;0.36966;-0.02272;0.03407;1.59785;0.10228;352;70;0.59223;0.63925;0.25446;0.87165;2.12018;0.19992;0.22931
UBC_563;256.741;-30.7016;1.06;0.013;8.161;0.298;0.107;0.082;1.896;0.074;62;-1.7028;0.32578;1.93788;0.3367;-0.00022;0.0365;1.38682;0.06923;129;25;0.48387;0.55817;0.26457;1.39775;0.98935;0.41583;0.00888
UBC_57;62.9579;42.7351;1.747;0.068;9.217;0.039;-0.142;0.064;1.541;0.065;66;-1.80149;1.01594;1.8227;0.28757;-0.00103;0.04257;1.38745;0.1335;192;38;0.59091;0.68669;0.25221;1.53876;2.18207;0.36111;0.02093
UBC_574;282.3222;-4.4007;1.411;0.052;8.615;0.368;0.157;0.046;2.699;0.082;406;-1.60267;0.47759;1.87529;0.21484;0.08191;0.03245;2.10775;0.13117;1114;222;0.65517;0.70313;0.24457;0.81118;1.60318;0.18883;0.06808
UBC_576;284.6941;0.3995;1.285;0.031;7.413;0.404;0.018;0.131;3.053;0.169;47;-1.455;0.36099;2.36678;0.92484;0.02723;0.05687;1.28552;0.10532;180;36;0.53191;0.80408;0.17714;0.85994;1.44193;0.1629;0.91776
UBC_582;299.8677;38.547;1.098;0.017;7.267;0.053;0.044;0.064;0.518;0.05;40;-1.19431;0.27873;2.35353;0.61992;-0.09834;0.07036;1.12864;0.08601;97;19;0.4;0.41961;0.29037;1.27282;1.10061;0.35;0.17453
UBC_586;301.088;46.8217;2.54;0.122;9.073;0.103;0.008;0.067;1.397;0.115;172;-2.48871;0.65274;2.06657;0.33749;-0.01089;0.03034;1.5702;0.08365;569;113;0.51163;0.70716;0.2717;1.11952;5.66096;0.2381;0.01216
UBC_591;325.0155;49.3149;2.067;0.038;8.086;0.233;0.025;0.028;1.209;0.072;57;-1.2822;0.54132;1.34957;0.47945;-0.03734;0.09895;1.26706;0.10226;204;40;0.50877;0.58208;0.26897;1.20807;0.91132;0.29167;0.15089
UBC_599;11.6844;60.0701;4.079;0.245;8.487;0.206;-0.269;0.059;1.417;0.064;49;-2.57745;0.93228;1.995;0.43926;0.11318;0.03914;1.54433;0.22741;221;44;0.59184;0.60811;0.22513;;;0.85417;0.32653
UBC_615;104.8662;33.0989;2.624;0.309;9.527;0.087;-0.184;0.039;0.207;0.014;358;-3.0;0.98327;2.50745;0.28916;-0.06885;0.02039;1.61844;0.05785;645;129;0.44693;0.7268;0.26267;0.96928;5.78154;0.0497;0.99436
UBC_626;106.473;-2.3083;4.37;0.507;8.849;0.058;-0.167;0.073;1.17;0.208;199;-2.60915;0.87393;1.38258;0.20162;0.11847;0.03267;1.96975;0.19627;533;106;0.68844;0.66988;0.28811;0.48322;5.27907;0.30797;0.11487
UBC_63;79.639;37.8083;1.478;0.02;7.347;0.03;-0.106;0.051;0.746;0.045;79;-1.67419;0.4335;1.6649;0.31684;-0.08091;0.05338;1.28158;0.11199;228;45;0.53165;0.64538;0.27333;1.13726;1.81318;0.22587;0.22177
UBC_634;109.9436;-18.9817;2.645;0.075;7.814;0.243;-0.117;0.044;1.016;0.061;88;-2.05671;0.50031;2.03884;0.38798;-0.05213;0.03762;1.37942;0.09449;312;62;0.54545;0.65912;0.25055;1.05408;2.94087;0.30947;0.02428
UBC_636;118.8256;-24.3362;2.699;0.143;8.831;0.07;-0.058;0.07;0.59;0.068;94;-3.0;0.59604;1.87728;0.24614;-0.01735;0.02412;1.35217;0.08203;193;38;0.59574;0.65813;0.2781;0.97834;2.64294;0.24425;0.11583
UBC_641;115.9984;-31.0831;3.21;0.116;7.379;0.176;-0.124;0.063;1.263;0.083;155;-1.92152;0.34393;1.9259;0.26469;0.0329;0.03025;1.69627;0.09839;661;132;0.64516;0.65088;0.2549;0.92103;4.32845;0.19021;0.17571
UBC_643;120.4908;-34.3819;3.396;0.322;8.573;0.299;-0.055;0.072;1.528;0.344;100;-1.89215;0.60941;1.86244;0.34291;0.0277;0.04006;1.51119;0.12267;494;98;0.69;0.65215;0.2384;1.43621;2.87593;0.1625;0.76069
UBC_68;91.1736;36.7818;1.92;0.05;8.08;0.133;-0.131;0.034;1.219;0.049;94;-1.92013;0.57718;1.60184;0.28724;-0.02081;0.04832;1.44799;0.13442;273;54;0.46809;0.58582;0.27799;1.3433;2.73894;0.31909;0.01254
UBC_80;91.6573;8.7714;2.047;0.052;7.679;0.145;-0.085;0.067;0.901;0.048;48;-1.88155;0.42934;1.20416;0.38949;0.07645;0.05263;1.43388;0.12372;126;25;0.5625;0.61488;0.26871;1.42703;3.26376;0.41667;0.07511
UFMG_34;233.8648;-57.6667;2.124;0.141;8.937;0.063;0.092;0.076;3.219;0.06;140;-0.99314;0.76503;1.58452;0.22313;0.14911;0.0478;1.73648;0.18857;798;159;0.73571;0.66455;0.28439;;;;
UFMG_58;124.8757;-38.2733;5.046;0.299;8.451;0.087;-0.111;0.061;2.994;0.033;114;-1.06497;0.67304;1.55756;0.25442;0.2;0.05581;1.67768;0.22935;740;148;0.64035;0.71993;0.27251;;;;
UFMG_59;126.5016;-38.3427;1.28;0.022;7.899;0.2;-0.001;0.102;1.207;0.164;29;-2.30011;0.84882;1.35576;0.35237;0.07026;0.0604;1.41949;0.23541;70;14;0.48276;0.52893;0.2359;1.3942;1.03594;0.32212;0.34684
UPK_12;288.795;-22.1446;0.638;0.001;8.393;0.124;0.039;0.039;0.362;0.053;69;-2.0024;0.38987;1.64796;0.35064;-0.14595;0.03555;1.17544;0.06361;109;21;0.4058;0.54837;0.23572;1.17498;1.82052;0.30392;0.13706
UPK_155;311.7057;60.7444;0.866;0.006;8.196;0.076;0.002;0.056;1.248;0.076;111;-1.77021;0.31581;1.80865;0.33445;-0.1087;0.03308;1.44181;0.05522;260;52;0.65766;0.74434;0.24297;1.10764;8.46303;0.20083;0.20785
UPK_16;287.2251;-19.1296;0.792;0.006;8.345;0.283;-0.104;0.083;0.482;0.048;64;-1.69372;0.2579;1.98808;0.24288;-0.16431;0.02505;1.1579;0.0445;129;25;0.65625;0.63118;0.25086;1.29528;3.55922;0.23913;0.37943
UPK_169;326.8185;59.705;0.832;0.017;7.173;0.297;-0.286;0.166;2.442;0.168;120;-1.27852;0.17719;2.75659;0.37561;-0.19687;0.02557;1.34202;0.05076;358;71;0.65;0.78094;0.19291;1.58238;9.41947;0.2029;0.15168
UPK_17;279.7445;-15.0362;0.657;0.001;8.674;0.152;-0.06;0.068;1.718;0.056;110;-0.6337;0.25311;3.0;0.46879;-0.17938;0.03104;1.44684;0.04397;294;58;0.5;0.66605;0.19325;1.21777;3.57618;0.31871;0.0056
UPK_178;334.4505;60.0712;0.917;0.014;8.179;0.107;0.12;0.09;2.268;0.119;49;-1.68394;0.47782;1.32401;0.56095;-0.03729;0.06456;1.23245;0.09299;132;26;0.7551;0.63796;0.24442;1.0909;1.72739;0.42833;0.01555
UPK_18;280.7471;-15.3048;0.749;0.003;8.788;0.535;-0.228;0.026;1.034;0.18;60;-2.53743;0.52223;2.31303;0.26695;-0.2;0.02414;0.92172;0.05639;102;20;0.75;0.70379;0.20375;1.26011;2.24365;0.32075;0.44979
UPK_180;339.1321;56.8006;0.844;0.009;8.245;0.1;-0.209;0.06;1.257;0.071;94;-1.80825;0.49433;1.88266;0.52452;-0.2;0.04646;1.20768;0.08055;181;36;0.74468;0.72114;0.20496;1.21943;8.5083;0.25464;0.12201
UPK_21;282.8427;-15.1589;0.579;0.001;8.88;0.033;0.198;0.131;1.448;0.115;52;-0.6126;0.83316;1.56375;0.23471;0.13249;0.06012;1.39863;0.21545;195;39;0.5;0.67251;0.23688;0.68874;2.11393;0.425;0.05229
UPK_219;351.7632;65.2529;0.795;0.006;8.305;0.056;0.104;0.182;1.519;0.14;34;-0.62763;0.36612;1.57025;0.32511;-0.13705;0.07619;1.18163;0.09736;96;19;0.70588;0.54866;0.22288;0.71963;2.87022;0.1875;0.87183
UPK_220;350.8805;66.4522;0.944;0.009;7.477;0.29;0.025;0.097;2.784;0.052;243;-1.53633;0.21795;2.55402;0.30428;-0.05894;0.02472;1.78668;0.06389;922;184;0.59671;0.76235;0.23654;1.12225;4.72743;0.23151;0.00262
UPK_23;282.2572;-12.8617;0.953;0.012;8.066;0.078;-0.219;0.155;1.501;0.098;47;-1.23898;0.37643;2.89254;0.9251;-0.2;0.04555;1.17746;0.09068;146;29;0.74468;0.67807;0.16971;1.38102;2.33508;0.11852;0.98571
UPK_230;353.8063;71.6563;0.533;0.003;7.8;0.357;-0.029;0.12;1.407;0.25;38;-0.78111;0.36516;2.98947;1.55652;-0.2;0.06448;1.01907;0.10102;88;17;0.34211;0.79715;0.24661;1.08844;2.91448;0.25;0.59958
UPK_24;282.5488;-10.8234;0.498;0.001;8.736;0.32;-0.373;0.166;1.349;0.204;48;-1.93666;0.58541;1.11136;0.47282;-0.13438;0.05396;1.08257;0.0706;105;21;0.875;0.70147;0.17263;0.87033;4.61749;0.2563;0.45048
UPK_265;31.9969;65.3427;0.832;0.006;8.322;0.074;-0.176;0.062;2.1;0.103;80;-1.28499;0.27038;3.0;0.58122;-0.19307;0.02553;1.31303;0.05003;235;47;0.75;0.84689;0.1839;1.52977;5.23381;0.19422;0.38091
UPK_28;277.3778;-5.026;0.877;0.021;7.461;0.335;0.162;0.062;3.255;0.093;75;-1.38889;0.36878;1.80233;0.60442;-0.00891;0.07884;1.48323;0.11267;270;54;0.58667;0.76243;0.26259;1.07796;2.17055;0.35509;0.01287
UPK_282;30.321;43.7907;0.765;0.003;8.406;0.092;-0.041;0.027;0.312;0.032;47;-1.75863;1.10217;0.88116;0.28592;-0.04558;0.11938;1.17013;0.25349;63;12;0.44681;0.37919;0.25491;1.34834;2.26739;0.2875;0.29419
UPK_29;278.5898;-5.4338;0.649;0.005;8.546;0.255;0.138;0.093;2.682;0.105;71;-1.57102;0.75139;1.59843;0.29381;-0.01236;0.06113;1.43338;0.16805;168;33;0.64789;0.67725;0.24397;0.9927;1.92913;0.13593;0.83239
UPK_294;60.6819;66.0947;0.73;0.003;8.305;0.155;-0.269;0.066;2.09;0.115;59;-0.84425;0.23679;1.68146;0.41574;-0.16155;0.05984;1.28612;0.05258;183;36;0.74576;0.70021;0.22495;1.10204;6.92208;0.1371;0.8965
UPK_296;42.6722;48.5797;0.525;0.004;8.428;0.088;0.052;0.085;0.355;0.051;73;-1.58386;0.37939;1.37472;0.37948;-0.2;0.05408;1.07783;0.08192;124;24;0.56164;0.64834;0.25591;0.91363;7.15425;0.2582;0.43393
UPK_312;67.6269;56.1712;0.68;0.009;8.713;0.181;-0.187;0.08;1.284;0.12;37;-1.39576;2.02159;0.95015;0.6238;-0.05636;0.20277;1.19936;0.34078;87;17;0.7027;0.66057;0.2079;1.16784;7.77511;0.29503;0.35452
UPK_33;280.0098;-4.362;0.499;0.006;8.028;0.289;0.032;0.089;2.186;0.205;41;-1.21468;0.27351;1.95108;0.50409;-0.2;0.04766;1.02547;0.06717;106;21;0.78049;0.71549;0.20087;1.18227;1.15694;0.42328;0.04632
UPK_333;61.8616;44.1378;0.614;0.025;8.835;0.174;-0.168;0.039;1.277;0.094;72;-0.8644;0.50552;2.25193;0.73923;-0.2;0.06656;1.31963;0.08525;175;35;0.54167;0.64912;0.20884;1.40036;4.56127;0.425;0.00217
UPK_379;93.7854;30.8289;0.744;0.004;8.143;0.42;0.009;0.168;0.788;0.383;91;-2.29705;0.8815;0.99589;0.35903;-0.0097;0.07172;1.51279;0.19425;176;35;0.52747;0.65874;0.26126;1.27261;8.48122;0.30219;0.04191
UPK_38;280.8179;-1.6482;0.575;0.002;7.023;0.079;-0.044;0.065;2.319;0.061;40;-1.60105;0.79342;0.42617;1.2692;-0.2;0.16783;0.92611;0.15355;75;15;0.675;0.65598;0.1528;1.06361;0.86694;0.32975;0.34329
UPK_381;95.4379;29.135;0.692;0.004;8.604;0.038;0.002;0.041;0.314;0.023;73;-1.51596;0.56896;1.48946;0.31355;-0.07461;0.05521;1.35632;0.10371;143;28;0.57534;0.60535;0.24236;1.05151;8.11553;0.28354;0.08772
UPK_385;75.6749;13.0825;0.308;0.002;7.436;0.125;0.192;0.145;0.677;0.29;53;-2.2316;0.36667;1.10492;0.32024;-0.2;0.04162;0.91874;0.07196;61;12;0.5283;0.74625;0.22254;1.01627;1.72954;0.24468;0.83265
UPK_394;78.8101;6.2891;0.778;0.005;8.492;0.177;-0.118;0.032;0.337;0.053;82;-1.82418;0.49961;1.61745;0.51134;-0.2;0.05098;1.1475;0.07675;126;25;0.56098;0.65024;0.23337;1.20143;4.25703;0.2675;0.15129
UPK_40;292.5214;-6.642;0.636;0.065;8.678;0.145;-0.128;0.054;1.132;0.127;85;-1.34586;0.31049;1.83213;0.50187;-0.2;0.04735;1.27096;0.0561;197;39;0.75294;0.64876;0.20577;1.12733;7.99809;0.26;0.15335
UPK_418;112.4759;5.579;0.825;0.0;8.0;0.0;-0.068;0.0;0.062;0.0;63;-1.25039;0.50163;1.70616;0.58618;-0.19501;0.07129;1.21606;0.10038;131;26;0.49206;0.57952;0.25807;1.14013;5.41331;0.2619;0.27893
UPK_42;293.9368;-3.6817;0.58;0.001;8.428;0.085;-0.099;0.029;1.71;0.056;124;-2.03455;0.25648;2.22031;0.28036;-0.17372;0.0211;1.29616;0.03872;229;45;0.59677;0.6218;0.2106;1.55608;2.29204;0.25815;0.06875
UPK_429;108.9417;-0.9894;0.855;0.0;8.0;0.0;-0.068;0.0;0.01;0.0;230;-2.16935;0.46267;1.68829;0.2649;-0.16333;0.03408;1.47392;0.06407;362;72;0.6;0.60409;0.23537;1.20401;8.29198;0.24712;0.01286
UPK_431;108.2852;-2.7657;0.716;0.002;8.0;0.067;-0.06;0.044;0.093;0.024;169;-1.69131;0.23858;1.49985;0.25168;-0.16678;0.03182;1.47386;0.04806;258;51;0.56213;0.56927;0.22507;1.23545;8.30688;0.19919;0.12045
UPK_433;103.4373;-5.8148;0.76;0.005;8.584;0.06;-0.055;0.042;0.376;0.029;111;-1.16264;0.30719;2.02082;0.31434;-0.19864;0.03748;1.38225;0.05214;209;41;0.46847;0.47128;0.27009;1.15697;6.90223;0.29959;0.0133
UPK_436;100.1787;-8.1785;0.809;0.001;7.724;0.143;-0.003;0.039;0.465;0.04;199;-1.72111;0.23063;2.20284;0.42274;-0.2;0.02916;1.47017;0.0497;328;65;0.68844;0.77706;0.2121;1.1862;8.35333;0.19106;0.07332
UPK_445;92.4548;-15.0341;0.655;0.003;7.163;0.053;-0.203;0.067;0.727;0.069;130;-1.07511;0.49331;0.44226;0.59732;-0.2;0.18775;1.30156;0.16621;189;37;0.55385;0.74243;0.20564;1.07794;4.71164;0.38047;0.00693
UPK_45;291.68;0.1904;0.849;0.009;8.28;0.242;-0.033;0.103;1.057;0.139;71;-1.88824;0.44462;2.39036;0.8249;-0.13931;0.04088;1.27227;0.07954;167;33;0.71831;0.68253;0.14579;1.3901;2.0101;0.35101;0.0238
UPK_46;294.7179;-1.3303;0.666;0.002;8.465;0.101;0.025;0.097;0.789;0.074;66;-1.33983;0.41697;1.70212;0.4355;-0.19833;0.05566;1.14556;0.07775;144;28;0.63636;0.55079;0.22842;1.38497;3.55086;0.39348;0.01873
UPK_467;121.1521;-11.5551;0.572;0.0;8.0;0.0;-0.045;0.0;0.01;0.0;165;-1.87511;0.45436;1.60719;0.26383;-0.19261;0.04001;1.38488;0.06465;227;45;0.47273;0.55987;0.21717;1.08538;5.90289;0.2093;0.14466
UPK_495;105.9609;-40.8364;0.611;0.018;8.987;0.086;-0.201;0.039;0.257;0.109;151;-1.73316;0.71409;1.18239;0.68747;-0.2;0.08237;1.40007;0.10417;244;48;0.63576;0.7157;0.2075;1.04847;12.06463;0.32446;0.00813
UPK_50;283.205;8.2364;0.989;0.012;8.215;0.172;0.042;0.017;1.498;0.057;137;-2.04932;0.48179;1.94482;0.3385;-0.081;0.03631;1.53907;0.09027;321;64;0.65693;0.6769;0.23459;0.96299;3.99238;0.33763;0.00059
UPK_502;124.3616;-37.8038;0.675;0.002;8.458;0.23;0.045;0.035;0.184;0.133;62;-1.53676;0.56953;2.54904;0.75872;-0.2;0.0488;1.16384;0.08567;102;20;0.66129;0.62608;0.24275;1.27015;2.15525;0.30227;0.11806
UPK_508;135.8026;-34.9535;0.813;0.004;8.535;0.197;-0.089;0.075;0.922;0.13;47;-1.84345;0.82299;1.47644;0.39442;0.01237;0.06301;1.41243;0.1909;116;23;0.65957;0.52325;0.17773;1.74107;4.36519;0.46992;0.00821
