Cluster;RA_ICRS;DE_ICRS;dist;e_dist;age;e_age;FeH;e_FeH;Av;e_Av;Nc;alpha_high_ind;e_alpha_high_ind;alpha_low_ind;e_alpha_low_ind;Mc_ind;e_Mc_ind;offset_ind;e_offset_ind;alpha_high_prim;e_alpha_high_prim;alpha_low_prim;e_alpha_low_prim;Mc_prim;e_Mc_prim;offset_prim;e_offset_prim;alpha_high_sec;e_alpha_high_sec;alpha_low_sec;e_alpha_low_sec;Mc_sec;e_Mc_sec;offset_sec;e_offset_sec;mass_total;e_mass_total;bin_frac;average_ratio;str_average_ratio;segr_ratio;segr_ratio_std;mass_seg;mass_seg_pval
NGC_1662;72.3564;10.852;0.388;0.014;8.847;0.083;-0.17;0.055;1.159;0.088;295;-2.30069;0.65884;2.52747;1.21431;-0.2;0.03907;1.05215;0.08566;-1.20171;0.81548;0.01;0.40353;-0.03096;0.17962;1.33113;0.15998;-2.22715;1.14409;0.38716;0.25867;-0.09867;0.09753;1.29309;0.14295;391;78;0.55254;0.69767;0.21569;1.346;5.6883;0.28483;0.00023
NGC_1664;72.7428;43.6735;1.279;0.013;8.744;0.039;-0.005;0.044;0.923;0.054;395;-2.94097;0.64492;0.08386;1.00475;-0.03304;0.05219;1.47112;0.08872;-1.44456;0.57379;1.11416;0.36177;0.11054;0.04468;1.63072;0.15619;-1.57029;0.96893;1.03724;0.27357;-0.10499;0.09388;1.38745;0.14216;823;164;0.43038;0.61255;0.242;1.22659;2.35749;0.17478;0.00407
NGC_1907;82.0576;35.3244;1.45;0.027;8.815;0.058;-0.115;0.049;1.502;0.079;308;-1.86768;0.21996;2.39735;1.1515;-0.0424;0.02018;1.42589;0.03521;-1.96448;0.43106;1.71422;0.31176;0.12723;0.02129;1.76169;0.11339;-3.0;1.17163;1.2219;0.23516;0.02836;0.04395;1.71525;0.19489;636;127;0.53247;0.66616;0.23855;1.10432;1.43306;0.21885;0.00206
NGC_1912;82.1752;35.8255;1.069;0.012;8.505;0.043;-0.022;0.025;0.998;0.032;844;-2.74149;0.19139;2.84866;1.02369;-0.11131;0.01266;1.61252;0.02553;-1.86782;0.20466;2.3514;0.25467;0.0986;0.01293;1.98876;0.05714;-2.00913;0.46727;1.12919;0.19149;-0.04804;0.03635;1.72394;0.07063;1447;289;0.44194;0.58999;0.23928;1.05775;3.38162;0.11139;0.00956
NGC_2287;101.5589;-20.6933;0.714;0.004;8.296;0.067;-0.078;0.025;0.225;0.032;765;-2.55555;0.52701;2.25613;0.888;-0.09052;0.02833;1.64814;0.06647;-0.49438;0.53698;0.01;2.73727;-0.2;0.87208;1.61527;0.14816;-2.30578;0.86361;0.23232;0.16123;0.00161;0.07868;1.66504;0.18231;1185;237;0.43137;0.53673;0.24101;1.16697;5.54911;0.16073;0.00019
NGC_2301;102.9472;0.4688;0.835;0.006;8.306;0.053;-0.031;0.018;0.251;0.012;607;-2.35034;0.47657;2.03118;0.98095;-0.14067;0.02854;1.53376;0.05649;-3.0;1.7254;0.01;0.52851;0.18133;0.10154;2.11009;0.51258;-3.0;0.93079;0.36114;0.13282;-0.07694;0.03964;1.39404;0.07285;793;158;0.35091;0.53489;0.26972;1.16122;2.45576;0.15851;0.00254
NGC_2355;109.2495;13.7681;1.777;0.02;9.094;0.028;-0.004;0.044;0.301;0.019;380;-3.0;0.57868;2.37676;1.94515;-0.07824;0.02484;1.31984;0.0625;-3.0;0.35789;3.0;0.4817;0.06545;0.01136;1.77128;0.05822;-2.14838;0.6247;1.54829;0.23776;-0.10594;0.03014;1.37126;0.05399;660;132;0.50789;0.63179;0.229;1.3806;2.719;0.2314;6e-05
NGC_2360;109.4375;-15.6277;1.036;0.009;9.106;0.029;-0.083;0.027;0.396;0.041;822;-3.0;0.45546;0.88604;0.72296;-0.06877;0.02567;1.59968;0.03919;-3.0;1.90578;0.98869;0.20882;0.18414;0.03102;2.29718;0.4518;-3.0;1.24651;0.73891;0.10508;0.0231;0.04037;1.88452;0.16993;1317;263;0.40876;0.63684;0.26352;1.38018;3.5903;0.18698;0.0
NGC_2451A;115.9537;-38.2344;0.192;0.001;7.716;0.041;0.045;0.037;0.073;0.037;419;-1.92291;0.48133;0.03392;0.21347;-0.2;0.09343;1.21668;0.10281;-0.16991;0.39494;0.01;0.88697;-0.2;1.83317;1.15355;0.14139;-1.108;0.83134;0.01;0.24864;-0.08457;0.27326;1.13523;0.21946;371;74;0.23866;0.56248;0.22665;1.15167;3.58413;0.17618;0.07259
NGC_2479;118.7515;-17.7474;1.561;0.016;9.101;0.025;0.066;0.041;0.069;0.01;157;-1.50156;0.56226;2.03931;5.61946;-0.07175;0.12021;1.0712;0.08253;-1.23143;0.56965;1.72462;0.70743;0.08471;0.04526;1.32026;0.10489;-2.06561;0.75495;1.2901;0.3656;-0.12762;0.05246;1.03292;0.0907;327;65;0.5414;0.58765;0.24944;1.24859;2.53042;0.28428;0.00261
